WKT,ID,LINEASUB
"LINESTRING (-58.3867771943587 -34.6094125867903,-58.387152139075 -34.6094409906664,-58.3875611798128 -34.609460018371,-58.3878679724182 -34.609460196272,-58.3880612176799 -34.6093663613694,-58.3881749554822 -34.6092349010256,-58.3882659518793 -34.6091222171686,-58.3883787775545 -34.6090715462084,-58.3886196687404 -34.6090716843449,-58.3911775629727 -34.6092533235118,-58.3915331662723 -34.6092535191047,-58.3917970232356 -34.6092252109343,-58.3919805831288 -34.6091968580974,-58.3926688243391 -34.6092256841813)",26,LINEA A
"LINESTRING (-58.3736842240469 -34.6092424297606,-58.3775808866363 -34.6128491070751)",27,LINEA E
"LINESTRING (-58.3775808866363 -34.6128491070751,-58.3808217691634 -34.6152367746463,-58.3811337899004 -34.6155274293537,-58.3814067159983 -34.6158826042228,-58.3815754585345 -34.6163345318478,-58.3816141479121 -34.6167110736758,-58.3815349422618 -34.617937394317)",28,LINEA E
"LINESTRING (-58.385148550285 -34.6223394920484,-58.3871915203641 -34.622459036808,-58.3891043732532 -34.6225677156333,-58.3915117004694 -34.6227196674666)",29,LINEA E
"LINESTRING (-58.3915117004694 -34.6227196674666,-58.3937759070396 -34.6228499812016,-58.3963654049598 -34.6230449641164,-58.3970680759498 -34.6231098658106)",30,LINEA E
"LINESTRING (-58.3970680759498 -34.6231098658106,-58.3992801179879 -34.6234229300793,-58.4021818667126 -34.6237685478248,-58.4029365807092 -34.6238657122988)",31,LINEA E
"LINESTRING (-58.4029365807092 -34.6238657122988,-58.4093907837292 -34.6246537866685)",32,LINEA E
"LINESTRING (-58.4093907837292 -34.6246537866685,-58.415532819778 -34.6253661068623)",33,LINEA E
"LINESTRING (-58.3750715187716 -34.6032972862158,-58.3807148483638 -34.6036371051614)",34,LINEA B
"LINESTRING (-58.3807148483638 -34.6036371051614,-58.3872961341576 -34.604093553428)",35,LINEA B
"LINESTRING (-58.3872961341576 -34.604093553428,-58.392314235117 -34.6044195433043)",36,LINEA B
"LINESTRING (-58.392314235117 -34.6044195433043,-58.3967853420157 -34.6045511518089,-58.3994742577363 -34.6046429678427)",37,LINEA B
"LINESTRING (-58.3994742577363 -34.6046429678427,-58.4036327232831 -34.6047612475446,-58.405399440292 -34.60458105578)",38,LINEA B
"LINESTRING (-58.405399440292 -34.60458105578,-58.4078228460911 -34.6042589193853,-58.4089172786859 -34.6041171758425,-58.4103399888427 -34.6040143319433,-58.4117626011356 -34.6040795184799)",39,LINEA B
"LINESTRING (-58.4117626011356 -34.6040795184799,-58.413216472462 -34.6041676810145,-58.4145175939033 -34.6040475078998,-58.4167429844652 -34.6036059110966,-58.4209624717517 -34.6031649022273)",40,LINEA B
"LINESTRING (-58.38044447085 -34.612617280313,-58.3804838678077 -34.6120739312415,-58.3805708393073 -34.6101147383197,-58.3806107173786 -34.6089833154282)",41,LINEA C
"LINESTRING (-58.402395343648 -34.59442571848,-58.4021370289561 -34.5945003253057,-58.4018935301218 -34.5945712683556,-58.4016357030735 -34.5946540450246,-58.4014637666782 -34.5947842308301,-58.4012774526008 -34.5949973074843,-58.4010910968633 -34.5952695959696,-58.4009620146467 -34.5955537528515,-58.4008615561959 -34.5958616083196,-58.4007610648021 -34.5962168331968,-58.4007035027429 -34.5966194482762,-58.4006745902833 -34.5970102342636,-58.4007029043416 -34.5974839441979,-58.4007311946916 -34.5979931809806,-58.4006592605338 -34.5984668438386,-58.4004441525429 -34.5988812260608,-58.4000715496307 -34.5992363207373,-58.3996273684668 -34.5995440098063,-58.3991546521987 -34.5996977322867,-58.3985817499988 -34.5997566645887,-58.3979237565357 -34.5997570806249)",42,LINEA D
"LINESTRING (-58.4209624717517 -34.6031649022273,-58.4312738604315 -34.6021622306381)",43,LINEA B
"LINESTRING (-58.4312738604315 -34.6021622306381,-58.4321953638907 -34.6020514552273,-58.4387799669157 -34.5998750084505,-58.4397714981403 -34.5989673653657)",44,LINEA B
"LINESTRING (-58.4397714981403 -34.5989673653657,-58.4416369151053 -34.5971952053037,-58.4443518446474 -34.5947330869231,-58.4475730932472 -34.591718154527)",45,LINEA B
"LINESTRING (-58.4151857086427 -34.6107816902173,-58.4189252179103 -34.6110485196961,-58.4197511172586 -34.6111246594478,-58.4210357508441 -34.611466494755,-58.421815670424 -34.6117702288803)",46,LINEA A
"LINESTRING (-58.421815670424 -34.6117702288803,-58.4235589856644 -34.6125863901361,-58.4295003242477 -34.6152056101139)",47,LINEA A
"LINESTRING (-58.4295003242477 -34.6152056101139,-58.436428529588 -34.6182799679461)",48,LINEA A
"LINESTRING (-58.436428529588 -34.6182799679461,-58.4411776244941 -34.6204052134137)",49,LINEA A
"LINESTRING (-58.415532819778 -34.6253661068623,-58.426789024345 -34.6270154668436)",50,LINEA E
"LINESTRING (-58.426789024345 -34.6270154668436,-58.4338162517819 -34.6280175481316)",51,LINEA E
"LINESTRING (-58.4338162517819 -34.6280175481316,-58.4388395162521 -34.6287607361027,-58.4390737570223 -34.6288253191114,-58.4393990805012 -34.6289652197003,-58.4396072719521 -34.6291266161291,-58.4421707073594 -34.6310418418081)",52,LINEA E
"LINESTRING (-58.4421707073594 -34.6310418418081,-58.4474931522839 -34.6349366946072,-58.449471312326 -34.6362923144061,-58.4497316078382 -34.6364106673052,-58.4499919134326 -34.6364322008244,-58.4502782572549 -34.6363891900731)",53,LINEA E
"LINESTRING (-58.3931251823401 -34.599639553207,-58.3930035093583 -34.5996360185762,-58.3914985509469 -34.5995956964241,-58.3894681118652 -34.5994562894591,-58.3885126261604 -34.5993767309394,-58.3879154046887 -34.599376387122,-58.3873180840165 -34.5994945628823,-58.3869356935491 -34.5996918756508,-58.3864337370615 -34.6000273932541,-58.3860033582543 -34.600461719823,-58.385620754217 -34.6008960726032,-58.3851423596596 -34.6015871649049)",54,LINEA D
"LINESTRING (-58.3815349422618 -34.617937394317,-58.3815208181493 -34.6191422408289,-58.3815241875455 -34.6195258074815,-58.3815493631208 -34.6198097179043,-58.3816254626314 -34.620041086912,-58.3817650898646 -34.6203460988595,-58.3819682931411 -34.6206721788479,-58.3822605411176 -34.6209877999734,-58.3827180140291 -34.6214402129371,-58.3830738439261 -34.6217769004819,-58.3835060290871 -34.6220715756307,-58.3837984570581 -34.6221979302321,-58.3841290903029 -34.62227173436,-58.385148550285 -34.6223394920484)",55,LINEA E
"LINESTRING (-58.3806107173786 -34.6089833154282,-58.3806291420487 -34.6084605588952,-58.3806724328895 -34.6076862716879,-58.380752387117 -34.6064698574408,-58.3808024534132 -34.6051991622895,-58.3807995718385 -34.6051811873833,-58.3807431328732 -34.6050468432955,-58.3806498291619 -34.6049590390534,-58.3804376586705 -34.6048851980303,-58.3799514362312 -34.6048583883162,-58.3795683463796 -34.6048464089771,-58.3795299795777 -34.6048437404279)",56,LINEA C
"LINESTRING (-58.4475730932472 -34.591718154527,-58.4495584084252 -34.5898086484992,-58.4501863953396 -34.5892223914695,-58.45040921984 -34.5890883950285,-58.4508923977206 -34.5887832854824,-58.4515346659201 -34.5885177521031,-58.4550292863567 -34.5871978537495)",57,LINEA B
"LINESTRING (-58.4502782572549 -34.6363891900731,-58.4506166611883 -34.6363461815938,-58.4511737529771 -34.6363090841476,-58.4516318430977 -34.6363213243924,-58.4521258107627 -34.6363558371581,-58.4526699258569 -34.6364862638935,-58.4536327372803 -34.6367162502925,-58.4543246014727 -34.6368807806301,-58.4549785480059 -34.6372646457903,-58.4552344381906 -34.6375074932908,-58.4555756285405 -34.6377973438574,-58.4557936117183 -34.6380088550893,-58.4563815548511 -34.6386081965535,-58.4569534429949 -34.639173817145,-58.4574462913208 -34.6397065045517,-58.4578917562798 -34.6401373534618)",58,LINEA E
"LINESTRING (-58.4578917562798 -34.6401373534618,-58.4583467042659 -34.6404820314118,-58.4595030458627 -34.6412810503349,-58.4601541336977 -34.641682813281,-58.4609218958082 -34.6424426554934,-58.4616517626562 -34.6433121637314)",59,LINEA E
"LINESTRING (-58.3709684997244 -34.608810309661,-58.37225696114 -34.608881729181,-58.3728253924637 -34.6089212975225,-58.3731759980449 -34.6088745413487,-58.3734036663304 -34.6086005244968,-58.3736311417176 -34.6085145132233,-58.3742677265724 -34.6085590738884)",60,LINEA A
